X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15
1.80405390243e-09,4.07435925291e-132,0.0847432636472,7.70292761779e-256,0.0465107949312,8.3680355814e-82,2.76148477418e-98,0.127905825197,4.73995812572e-67,0.98706404306,1.74480710952e-149,1.62635003299e-71,3.5483347841e-210,7.95560719682e-182,1.21792830543e-145,9.22998758491e-160
3.25046204672e-66,1.89627510936e-34,0.999242702681,6.8401510587e-142,1.24877004625e-74,1.30037269881e-32,2.01938372264e-08,4.0418379632e-28,0.0389104245573,6.10816680579e-63,2.76341580093e-58,8.75476541173e-21,3.45308410779e-38,1.69565197418e-102,5.87613988897e-49,2.68604537425e-109
1.84806191919e-13,8.10683653286e-30,0.981137740573,3.09186477638e-208,0.193309942899,9.38817692387e-55,4.54566767196e-16,2.51385278187e-22,2.33253997343e-19,2.30244652151e-83,3.17613871943e-70,1.83187041794e-23,6.96910293515e-94,4.89741118852e-79,2.52714458978e-24,4.4235684415e-61
2.8102051308e-49,1.15785321148e-247,3.33659838461e-14,0.0,1.09964964506e-81,2.14177794347e-205,0.0203833069294,3.62807721811e-15,0.145373002654,1.39214822007e-110,0.977965835317,0.148438660232,8.6580709097e-84,1.72501019294e-74,1.15578649805e-26,6.45958863893e-185
3.90062792826e-81,2.52560941907e-25,0.997705743948,5.26218711579e-125,8.78577013275e-71,7.31934208036e-47,8.24968894937e-07,1.2290249695e-27,1.47463946896e-17,4.34769311015e-75,2.25272647147e-71,6.23199746075e-19,5.91019030951e-62,6.61350089059e-99,0.0676996934396,1.51254101131e-52
5.49587815674e-93,0.0,6.22399948183e-27,0.999984302596,0.0,5.48148607168e-186,0.0,0.00137579502918,0.0,0.0,0.0,7.83306297766e-137,0.00317377431929,5.67581281373e-163,0.00440782320402,0.0
9.60410276316e-162,1.5064934987e-110,9.17040373095e-274,2.22689596855e-56,0.790265397074,3.82493512479e-241,4.95525721563e-90,1.06070360454e-191,9.22566437228e-117,2.31711219567e-176,0.0,1.65781069472e-243,0.61276472009,7.99699873811e-230,3.83331460277e-279,6.15045120781e-152
8.75839858862e-52,0.563585332115,0.825665264567,0.00103130759335,5.32221636951e-63,0.0254436773316,1.28514615251e-15,3.61811737211e-28,1.76000296774e-16,2.99402025731e-83,3.59169628404e-97,3.10709430017e-20,2.49007877584e-71,4.35403917733e-104,1.93252478554e-52,1.54284655784e-100
9.99917390896e-57,3.260587429e-134,0.0511664432691,2.34049375799e-28,5.71123127892e-35,0.99128883698,0.055143692897,0.0810378110057,0.00919756757123,1.03262279203e-93,4.09424640612e-159,3.59764593075e-30,0.000807449388593,9.06688024226e-123,8.05822228891e-06,0.0709593953989
1.33509390115e-25,3.55154837837e-25,0.609101990385,4.43364285256e-144,5.78020985693e-72,4.35210658918e-15,0.253933368914,0.751201498934,4.01034631134e-25,7.29950665343e-68,4.97412002069e-69,0.0144539773554,2.23516771098e-74,6.39006952795e-85,7.85608012526e-66,5.99274412468e-115
